listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"1116 Kenwood Cv, Bryant, AR 72022",1116 Kenwood Cv,Bryant,AR,,forRent,4,1931,,2100,34,https://www.zillow.com/homedetails/1116-Kenwood-Cv-Bryant-AR-72022/52934559_zpid/,,120000,2026-08-20T00:00:00.000Z,Listed for rent,2025-07-26T00:00:00.000Z,Listing removed,2025-07-22T00:00:00.000Z,Listed for rent,2024-01-18T00:00:00.000Z,Listing removed,2023-10-26T00:00:00.000Z,Listed for rent,2022-06-08T00:00:00.000Z,Listing removed
"1117 Weems St, Conway, AR 72034",1117 Weems St,Conway,AR,,forRent,4,1932,,2050,40,https://www.zillow.com/homedetails/1117-Weems-St-Conway-AR-72034/450684409_zpid/,,,2026-09-03T00:00:00.000Z,Price change,2026-08-22T00:00:00.000Z,Listing removed,2026-08-14T00:00:00.000Z,Listed for rent,2026-08-02T00:00:00.000Z,Listed for sale,2026-08-01T00:00:00.000Z,Listing removed,2026-07-28T00:00:00.000Z,Price change
"405 S Ash St, Conway, AR 72034",405 S Ash St,Conway,AR,,forRent,3,1100,,1200,13,https://www.zillow.com/homedetails/405-S-Ash-St-Conway-AR-72034/238063_zpid/,,75000,2026-09-10T00:00:00.000Z,Listed for rent,2021-02-23T00:00:00.000Z,Listing removed,2020-06-04T00:00:00.000Z,Listing removed,2020-06-02T00:00:00.000Z,Listed for rent,2020-04-30T00:00:00.000Z,Sold,2020-04-14T00:00:00.000Z,Listed for sale
"1804 Clara Dr, Conway, AR 72034",1804 Clara Dr,Conway,AR,,forRent,3,2000,,1695,19,https://www.zillow.com/homedetails/1804-Clara-Dr-Conway-AR-72034/235007_zpid/,,20000,2026-09-04T00:00:00.000Z,Listed for rent,2024-07-11T00:00:00.000Z,Listing removed,2024-06-26T00:00:00.000Z,Listed for rent,2023-06-13T00:00:00.000Z,Listing removed,2023-05-30T00:00:00.000Z,Listed for rent,2022-05-04T00:00:00.000Z,Listing removed
"4605 Valiant Dr, Conway, AR 72034",4605 Valiant Dr,Conway,AR,,forRent,3,1324,,1500,73,https://www.zillow.com/homedetails/4605-Valiant-Dr-Conway-AR-72034/52392383_zpid/,,122000,2026-08-01T00:00:00.000Z,Price change,2026-07-13T00:00:00.000Z,Listed for rent,2023-05-19T00:00:00.000Z,Listing removed,2023-05-02T00:00:00.000Z,Listed for rent,2022-04-11T00:00:00.000Z,Listing removed,2022-04-06T00:00:00.000Z,Listed for rent
"2230 Matthews Ln, Conway, AR 72032",2230 Matthews Ln,Conway,AR,,forRent,4,1661,,1800,5,https://www.zillow.com/homedetails/2230-Matthews-Ln-Conway-AR-72032/2076025311_zpid/,,,2026-09-18T00:00:00.000Z,Listed for rent,,,,,,,,,,
"2007 Arkansas Ave, Conway, AR 72034",2007 Arkansas Ave,Conway,AR,,forRent,3,1301,,1495,22,https://www.zillow.com/homedetails/2007-Arkansas-Ave-Conway-AR-72034/234341_zpid/,,90000,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-26T00:00:00.000Z,Sold,2026-08-25T00:00:00.000Z,Contingent,2026-07-20T00:00:00.000Z,Price change,2026-05-19T00:00:00.000Z,Listed for sale,2026-05-19T00:00:00.000Z,Listing removed
"911 James Madison Dr, Benton, AR 72019",911 James Madison Dr,Benton,AR,,forRent,3,2014,,1700,7,https://www.zillow.com/homedetails/911-James-Madison-Dr-Benton-AR-72019/82278084_zpid/,,175000,2026-09-16T00:00:00.000Z,Listed for rent,2024-07-26T00:00:00.000Z,Sold,2021-07-01T00:00:00.000Z,Sold,2014-03-12T00:00:00.000Z,Sold,,,,
"1655 Duke St, Conway, AR 72032",1655 Duke St,Conway,AR,,forRent,3,1369,,1675,4,https://www.zillow.com/homedetails/1655-Duke-St-Conway-AR-72032/71713063_zpid/,,185000,2026-09-19T00:00:00.000Z,Listed for rent,2024-10-01T00:00:00.000Z,Listing removed,2024-09-11T00:00:00.000Z,Listed for rent,2023-08-01T00:00:00.000Z,Sold,2023-05-18T00:00:00.000Z,Contingent,2023-04-23T00:00:00.000Z,Listed for sale
"5417 Temperance, Jacksonville, AR 72076",5417 Temperance,Jacksonville,AR,,forRent,,,,,,https://www.zillow.com/b/5417-temperance-jacksonville-ar-CYrkNG/,,,,,,,,,,,,,,
"1609 Rushing Cir, Conway, AR 72032",1609 Rushing Cir,Conway,AR,,forRent,3,1400,,1475,23,https://www.zillow.com/homedetails/1609-Rushing-Cir-Conway-AR-72032/235792_zpid/,,116000,2026-08-31T00:00:00.000Z,Listed for rent,2024-09-13T00:00:00.000Z,Listing removed,2024-06-19T00:00:00.000Z,Listed for rent,2024-06-19T00:00:00.000Z,Listing removed,2024-05-25T00:00:00.000Z,Listed for rent,2023-03-31T00:00:00.000Z,Listing removed
