"Picture Count","Status","List Price","Price","Subdivision","Address","Apx SQFT","Beds","Full Baths","Apx ACR","Input Date","Price Date","Price Per SQFT","Closed Date"
"1","SBL","$271,000","$271,000","WOLFSBRIDGE @ CABOT PH 1-A","81 Wolfsbridge Loop","2500","4","2","0.15","7/17/2026 9:11 AM","7/17/2026","$108.40","7/15/2026"
"18","SLD","$271,500","$271,000","KENSINGTON PLACE","6320 Warwick Drive","1849","4","2","0.20","2/24/2026 3:59 PM","5/29/2026","$146.57","5/29/2026"
"12","SLD","$271,000","$271,000","KENSINGTON PLACE","3713 Wise Road","1796","4","2","0.24","6/19/2025 10:36 AM","6/19/2025","$150.89","8/8/2025"
"12","EXP","$271,000","$271,000","KENSINGTON PLACE","6424 Newark Drive","1796","4","2","0.20","10/8/2025 11:07 AM","10/13/2025","$150.89",
"18","SLD","$272,500","$272,000","KENSINGTON PLACE","6309 Warwick Drive","1849","4","2","0.20","2/15/2026 5:20 PM","4/28/2026","$147.11","4/24/2026"
"16","SLD","$269,000","$272,000","VINEYARD SUB PH II","116 E Fredonia Court","1897","4","2","0.15","6/26/2025 3:12 PM","10/31/2025","$143.38","10/29/2025"
"18","UCT","$273,000","$273,000","KENSINGTON PLACE","6332 Warwick Drive","1849","4","2","0.20","3/11/2026 1:23 PM","6/30/2026","$147.65","8/17/2026"
"23","SLD","$273,000","$273,000","KENSINGTON PLACE","6425 Newark Drive","1824","4","2","0.20","8/31/2024 1:02 AM","1/17/2025","$149.67","2/17/2025"
"24","SLD","$273,500","$273,500","KENSINGTON PLACE","6313 Warwick Drive","1884","4","2","0.20","2/12/2026 2:55 PM","5/6/2026","$145.17","6/24/2026"
"33","SLD","$275,000","$274,000","THE VILLAS AT HOPE VALLEY PHASE 1","85 Kelton Lane","1884","4","2","0.22","4/10/2025 12:52 PM","5/20/2025","$145.44","5/16/2025"
"22","WITH","$274,425","$274,425","VINEYARD SUB PH I","2 E Fredonia Court","1897","4","2","0.23","12/29/2024 3:52 PM","12/29/2024","$144.66",
"14","SLD","$275,000","$275,000","KENSINGTON PLACE","3629 Wise Road","1824","4","2","0.24","4/30/2025 10:58 AM","4/30/2025","$150.77","8/13/2025"
"14","SLD","$275,000","$275,000","KENSINGTON PLACE","3715 Wise Road","1824","4","2","0.24","4/29/2025 4:53 PM","4/29/2025","$150.77","8/6/2025"
"12","EXP","$275,000","$275,000","KENSINGTON PLACE","6432 Newark Drive","1824","4","2","0.20","10/30/2025 10:45 AM","10/30/2025","$150.77",
"16","SLD","$275,000","$275,000","VINEYARD SUB PH II","119 E Sunbelt Court","1897","4","2","0.25","10/27/2025 1:04 PM","10/27/2025","$144.97","10/28/2025"
"19","UCT","$275,000","$275,000","KENSINGTON PLACE","6337 Warwick Drive","1849","4","2","0.20","1/14/2026 1:24 PM","6/30/2026","$148.73","9/25/2026"
"12","EXP","$275,000","$275,000","KENSINGTON PLACE","6416 Newark Drive","1824","4","2","0.20","8/1/2025 9:58 AM","8/1/2025","$150.77",
"16","SLD","$275,000","$275,000","KENSINGTON PLACE","3705 Wise Road","1824","4","2","0.24","12/28/2024 8:30 PM","7/27/2025","$150.77","9/23/2025"
"12","EXP","$275,000","$275,000","KENSINGTON PLACE","6408 Newark Drive","1824","4","2","0.20","9/10/2025 3:45 PM","9/10/2025","$150.77",
"2","NEW","$275,300","$275,300","CRESCENT GROVE PHASE 1","420 Chakka Loop","1778","4","2","0.13","7/30/2026 3:05 PM","7/30/2026","$154.84",
"11","SLD","$276,500","$276,000","KENSINGTON PLACE","6301 Warwick Drive","1884","4","2","0.20","2/12/2026 2:41 PM","5/1/2026","$146.50","4/29/2026"
"12","SLD","$277,000","$277,000","KENSINGTON PLACE","6316 Warwick Drive","1884","4","2","0.20","5/12/2026 9:17 AM","5/29/2026","$147.03","6/29/2026"
"14","EXP","$278,000","$278,000","KENSINGTON PLACE","3641 Wise Road","1824","4","2","0.24","6/19/2025 10:53 AM","10/20/2025","$152.41",
