listingAddress/full,listingAddress/street,listingStatus,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice
"127 Chambery Dr, Maumelle, AR 72113",127 Chambery Dr,forRent,,4,1651,,2500,5,https://www.zillow.com/homedetails/127-Chambery-Dr-Maumelle-AR-72113/122006196_zpid/,,
"5 Stoneledge Dr, Maumelle, AR 72113",5 Stoneledge Dr,forRent,,3,1755,,1850,25,https://www.zillow.com/homedetails/5-Stoneledge-Dr-Maumelle-AR-72113/326005_zpid/,,240000
"81 Oak Forest Loop, Maumelle, AR 72113",81 Oak Forest Loop,forRent,,3,1300,,1700,50,https://www.zillow.com/homedetails/81-Oak-Forest-Loop-Maumelle-AR-72113/326542_zpid/,,145000
"205 Logan Dr, Maumelle, AR 72113",205 Logan Dr,forRent,,3,1472,,1835,53,https://www.zillow.com/homedetails/205-Logan-Dr-Maumelle-AR-72113/2057186361_zpid/,,
"263 Lake Valley Dr, Maumelle, AR 72113",263 Lake Valley Dr,forRent,,5,3100,,2600,11,https://www.zillow.com/homedetails/263-Lake-Valley-Dr-Maumelle-AR-72113/89031838_zpid/,,308200
"127 Rolling Oaks Dr, Maumelle, AR 72113",127 Rolling Oaks Dr,forRent,,3,1240,,1475,8,https://www.zillow.com/homedetails/127-Rolling-Oaks-Dr-Maumelle-AR-72113/326438_zpid/,,79500
"158 Ridgeland Dr, Maumelle, AR 72113",158 Ridgeland Dr,forRent,,3,1835,,1975,0,https://www.zillow.com/homedetails/158-Ridgeland-Dr-Maumelle-AR-72113/325729_zpid/,,188900
"2 Corbet Ln, Maumelle, AR 72113",2 Corbet Ln,forRent,,3,1523,,2300,18,https://www.zillow.com/homedetails/2-Corbet-Ln-Maumelle-AR-72113/122005820_zpid/,,
"117 Logan Dr, Maumelle, AR 72113",117 Logan Dr,forRent,,3,1472,,1835,63,https://www.zillow.com/homedetails/117-Logan-Dr-Maumelle-AR-72113/2057186355_zpid/,,
"110 Vienne Pl, Maumelle, AR 72113",110 Vienne Pl,forRent,,3,1553,,1850,17,https://www.zillow.com/homedetails/110-Vienne-Pl-Maumelle-AR-72113/118161409_zpid/,,180000
